"","2.5%","50%","97.5%",""
"Afghanistan",4.41534240400883,4.44674994133887,4.48005995305637,28563
"Herat",4.11007985096864,4.23775385870965,4.36733006024073,1032
"Kabul",4.01244442692078,4.14058993988699,4.27483626474162,719
"Kapisa",3.94045849873152,4.07758596071212,4.22176388669342,862
"Parwan",4.03974297792126,4.17406789817416,4.30834177361847,813
"Maidan Wardak",4.28503559833865,4.41849460708968,4.56530750502952,956
"Logar",4.3665398149754,4.50098982118456,4.6371643937903,890
"Nangarhar",4.63992154706713,4.77746025577858,4.9112844470897,861
"Laghman",4.71128922415836,4.85745252878121,5.00806065849922,668
"Panjsher",4.14543845362429,4.28757221624932,4.43854037967443,603
"Baghlan",4.13043996947634,4.29069272672475,4.44261169152022,760
"Bamyan",3.92487455873213,4.06132571095606,4.1956527141146,807
"Ghazni",4.12153407972549,4.25681839175058,4.39348868230318,1025
"Paktika",3.84557598453975,3.9624032639546,4.08800026444205,1073
"Paktya",4.02929934273822,4.14802785296425,4.27011102360551,1188
"Khost",4.48599490424559,4.60344418611715,4.73429150141159,839
"Kunarha",4.83916690876839,4.9861414281175,5.13923629711112,969
"Nooristan",4.56189436572823,4.69676925330311,4.83380566651713,727
"Badakhshan",4.37381573855671,4.52218386100624,4.67014500885685,683
"Takhar",4.42101561265977,4.56627897870398,4.70861614975395,751
"Kunduz",4.69201329351343,4.84121298902156,4.99740521871285,766
"Samangan",3.69265635681179,3.82173570033589,3.95619327669243,668
"Balkh",4.04322652532064,4.18573093878099,4.34075570725367,888
"Sar-e-Pul",3.87529125389641,4.00114203671725,4.14001944411376,774
"Ghor",4.04322144538579,4.18657032802573,4.34737804678335,742
"Daykundi",3.90735249012554,4.05048087912451,4.19808597065038,762
"Urozgan",4.18113593682688,4.31870646565694,4.4677421296935,895
"Zabul",4.98576628646857,5.137130494011,5.28876363946836,1084
"Kandahar",5.04113236119938,5.17288648165625,5.30784836817464,924
"Jawzjan",4.03619364515835,4.1571810286388,4.28052682227604,812
"Faryab",4.26270594843987,4.40702372678434,4.54800639850367,922
"Helmand",5.26254921730446,5.41058695860518,5.56512650983533,754
"Badghis",4.09223627520941,4.22263876016574,4.36730173982963,703
"Farah",4.82707130938177,5.00857854845133,5.18130689418578,767
"Nimroz",4.77870339189888,4.93286975830343,5.09739263312848,23841
